Citation Number,Date Time Issued,Street Number,Street Name,Cross Street,Charge Code,Charge Description
R7721803,5/17/16 12:40,,INMAN ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R6428007,5/17/16 12:44,,CARDINAL MEDEIROS AVE,HAMPSHIRE ST,85/11B,BICYCLE VIOLATION c85 S11B
R7721645,5/17/16 14:20,,MASSACHUSETTS AVE,WALDEN ST,85/11B,BICYCLE VIOLATION c85 S11B
R7721646,5/17/16 14:40,,MASSACHUSETTS AVE,WALDEN ST,85/11B,BICYCLE VIOLATION c85 S11B
R6859409,5/18/16 10:00,,INMAN ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R6859410,5/18/16 10:05,,INMAN ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7120409,5/18/16 10:05,,INMAN ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R6859411,5/18/16 10:10,,INMAN ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7721924,5/18/16 10:14,1414,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7120410,5/18/16 10:18,,INMAN ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R6859412,5/18/16 10:20,,INMAN ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7120412,5/18/16 10:30,,INMAN ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R6859413,5/18/16 10:40,,INMAN ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7715777,5/18/16 12:25,,BROADWAY,GALILEI WAY,85/11B,BICYCLE VIOLATION c85 S11B
R7715777,5/18/16 12:25,,BROADWAY,GALILEI WAY,85/11B,BICYCLE VIOLATION c85 S11B
R7721870,5/18/16 17:30,,MASSACHUSETTS AVE,PEARL ST,85/11B,BICYCLE VIOLATION c85 S11B
R7721811,5/19/16 8:55,,INMAN ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7721815,5/19/16 9:46,,MASSACHUSETTS AVE,VASSAR ST,85/11B,BICYCLE VIOLATION c85 S11B
R7721961,5/19/16 16:00,,MASSACHUSETTS AVE,PEARL ST,85/11B,BICYCLE VIOLATION c85 S11B
R5510829,5/20/16 11:25,,MASSACHUSETTS AVE,PROSPECT ST,85/11B,BICYCLE VIOLATION c85 S11B
R7721916,5/20/16 12:36,,DOUGLASS ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7721916,5/20/16 12:36,,DOUGLASS ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7721920,5/20/16 13:06,,ALBANY ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R6775960,5/24/16 12:05,,HANCOCK ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R6775960,5/24/16 12:05,,HANCOCK ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R6775960,5/24/16 12:05,,HANCOCK ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7115257,5/24/16 16:04,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7121051,5/24/16 16:05,,MASSACHUSETTS AVE,PROSPECT ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715258,5/24/16 16:12,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7721516,5/24/16 16:40,,AMHERST ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7715260,5/24/16 16:50,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7721517,5/24/16 16:50,,AMHERST ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7718727,5/25/16 9:45,,CAMBRIDGE ST,FIRST ST,85/11B,BICYCLE VIOLATION c85 S11B
R7718727,5/25/16 9:45,,CAMBRIDGE ST,FIRST ST,85/11B,BICYCLE VIOLATION c85 S11B
R7718729,5/25/16 10:05,,CAMBRIDGE ST,FIRST ST,85/11B,BICYCLE VIOLATION c85 S11B
R7718729,5/25/16 10:05,,CAMBRIDGE ST,FIRST ST,85/11B,BICYCLE VIOLATION c85 S11B
R7718732,5/25/16 10:28,,CAMBRIDGE ST,FIRST ST,85/11B,BICYCLE VIOLATION c85 S11B
R7718732,5/25/16 10:28,,CAMBRIDGE ST,FIRST ST,85/11B,BICYCLE VIOLATION c85 S11B
R7718801,5/25/16 10:59,,INMAN ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7718801,5/25/16 10:59,,INMAN ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7718801,5/25/16 10:59,,INMAN ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7718736,5/25/16 12:50,,BROADWAY,ELLERY SQ,85/11B,BICYCLE VIOLATION c85 S11B
R7718737,5/25/16 13:35,,MASSACHUSETTS AVE,REMINGTON ST,85/11B,BICYCLE VIOLATION c85 S11B
R7118249,5/25/16 16:00,576,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7718761,5/25/16 16:00,,AMHERST ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7718762,5/25/16 16:00,,AMHERST ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7721602,5/25/16 16:15,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7718763,5/25/16 16:21,101,WESTERN AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7718764,5/25/16 16:21,101,WESTERN AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7118250,5/25/16 16:30,,MASSACHUSETTS AVE,NORFOLK ST,85/11B,BICYCLE VIOLATION c85 S11B
R7718765,5/25/16 16:30,101,WESTERN AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7721604,5/25/16 16:36,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7718766,5/25/16 16:37,101,WESTERN AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7721605,5/25/16 16:45,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7118251,5/25/16 16:50,,MASSACHUSETTS AVE,STATE ST,85/11B,BICYCLE VIOLATION c85 S11B
R7721607,5/25/16 17:25,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7718812,5/26/16 0:50,160,CAMBRIDGE ST,,85/11B,BICYCLE VIOLATION c85 S11B
R7718812,5/26/16 0:50,160,CAMBRIDGE ST,,85/11B,BICYCLE VIOLATION c85 S11B
R7721746,5/26/16 11:00,,MASSACHUSETTS AVE,PROSPECT ST,85/11B,BICYCLE VIOLATION c85 S11B
R7721749,5/26/16 11:26,,ESSEX ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7721749,5/26/16 11:26,,ESSEX ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7718738,5/26/16 11:45,,CAMBRIDGE ST,FIRST ST,85/11B,BICYCLE VIOLATION c85 S11B
R7721757,5/26/16 12:45,,MASSACHUSETTS AVE,VASSAR ST,85/11B,BICYCLE VIOLATION c85 S11B
R7718657,5/26/16 17:20,,INMAN ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7721647,5/31/16 9:10,,MASSACHUSETTS AVE,ROSELAND ST,85/11B,BICYCLE VIOLATION c85 S11B
R7721879,5/31/16 10:35,,DOUGLASS ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7721974,5/31/16 11:58,,DOUGLASS ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7718813,5/31/16 17:16,,MAIN ST,WINDSOR ST,85/11B,BICYCLE VIOLATION c85 S11B
R7721654,6/1/16 10:05,,MASSACHUSETTS AVE,ROSELAND ST,85/11B,BICYCLE VIOLATION c85 S11B
R7721655,6/1/16 10:10,,MASSACHUSETTS AVE,ROSELAND ST,85/11B,BICYCLE VIOLATION c85 S11B
R7721656,6/1/16 10:30,,MASSACHUSETTS AVE,ROSELAND ST,85/11B,BICYCLE VIOLATION c85 S11B
R7718774,6/1/16 10:36,,LINNAEAN ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7721657,6/1/16 10:40,,MASSACHUSETTS AVE,ROSELAND ST,85/11B,BICYCLE VIOLATION c85 S11B
R7718814,6/1/16 16:40,,BINNEY ST,SECOND ST,85/11B,BICYCLE VIOLATION c85 S11B
R7718814,6/1/16 16:40,,BINNEY ST,SECOND ST,85/11B,BICYCLE VIOLATION c85 S11B
R7718814,6/1/16 16:40,,BINNEY ST,SECOND ST,85/11B,BICYCLE VIOLATION c85 S11B
R7718817,6/1/16 19:00,,BROADWAY,ELLERY ST,85/11B,BICYCLE VIOLATION c85 S11B
R7718817,6/1/16 19:00,,BROADWAY,ELLERY ST,85/11B,BICYCLE VIOLATION c85 S11B
R7121290,6/2/16 18:25,,MASSACHUSETTS AVE,PROSPECT ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715909,6/3/16 8:15,,DOVER ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R4840108,6/3/16 12:53,,LINNAEAN ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R4854971,6/6/16 12:46,,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R4854972,6/6/16 13:46,,DOVER ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
